Données de la station météo du campus de la Gaillarde (Montpellier SupAgro - INRA) entre le 2021-1-1 0:00 et le 2022-12-31 23:00.
longitude : 3°51'22'' Est
lattitude : 43°37'4'' Nord
altitude : 40m

jour heure (GMT),Tmoy (°C),RH (%),Vent (m/s),Précipitations (mm),Rg (J/cm²)
2021-02-27 07:00:00,8.11,52.52,0.931,0,4.076
2021-02-27 08:00:00,10.48,49.94,1.183,0,49.11
2021-02-27 09:00:00,13.17,44.9,0.768,0,112.2
2021-02-27 10:00:00,16.06,36.2,1.085,0,140.5
2021-02-27 11:00:00,17.66,35.57,0.867,0,196.4
2021-02-27 12:00:00,18.52,34.07,1.24,0,220.8
2021-02-27 13:00:00,18.52,34.07,1.26,0,218.4
2021-02-27 14:00:00,17.36,37.24,1.401,0,178.5
2021-02-27 15:00:00,16.96,36.71,1.84,0,155.9
2021-02-27 16:00:00,16.01,40.16,1.423,0,94.3
2021-02-27 17:00:00,12.85,42.69,1.325,0,35.8
2021-02-27 18:00:00,12.67,48.67,1.082,0,2.401
2021-02-27 19:00:00,12.35,50.72,0.413,0,-0.485
2021-02-27 20:00:00,10.25,58.18,0.106,0,-1.01
2021-02-27 21:00:00,11,57.58,0.421,0,-0.565
2021-02-27 22:00:00,9.99,57.92,0.147,0,-1.082
2021-02-27 23:00:00,9.72,58.27,0.169,0,-0.382
2021-02-28 00:00:00,9.79,62.74,1.021,0,-0.533
2021-02-28 01:00:00,8.84,72.2,0.697,0.5,-0.804
2021-02-28 02:00:00,8.36,78.8,0.042,1.5,-0.43
2021-02-28 03:00:00,8.23,81.5,0.015,1,-0.477
2021-02-28 04:00:00,8.57,84.3,0.061,0.5,-0.477
2021-02-28 05:00:00,8.09,86,0.008,0.5,-0.422
2021-02-28 06:00:00,7.35,80.7,0.146,0,0.477
2021-02-28 07:00:00,7.96,71.7,0.292,0,2.388
2021-02-28 08:00:00,8.78,63.3,0.174,0,16.71
2021-02-28 09:00:00,9.58,60.57,0.287,0,41.66
2021-02-28 10:00:00,11.67,54.38,0.591,0,110.6
2021-02-28 11:00:00,14.5,48.94,1.037,0,203.8
2021-02-28 12:00:00,15.83,54.54,1.315,0,230
2021-02-28 13:00:00,16.22,53.92,1.702,0,205
2021-02-28 14:00:00,14.52,53.51,2.368,0,185.1
2021-02-28 15:00:00,14.87,50.94,1.55,0,134.9
2021-02-28 16:00:00,13.39,61.32,2.324,0,67.42
2021-02-28 17:00:00,13.07,67.91,1.348,0,32.95
2021-02-28 18:00:00,11.59,69.28,0.269,0,2.099
2021-02-28 19:00:00,10.05,72.7,0,0,-1.209
2021-02-28 20:00:00,8.97,78.6,0,0,-1.05
2021-02-28 21:00:00,8.1,80,0,0,-1.003
2021-02-28 22:00:00,7.97,83.4,0,0,-0.78
2021-02-28 23:00:00,6.955,82.2,0,0,-0.828
2021-03-01 00:00:00,6.819,80.1,0,0,-0.573
2021-03-01 01:00:00,6.212,82.8,0,0,-0.541
2021-03-01 02:00:00,5.809,83.2,0,0.5,-0.549
2021-03-01 03:00:00,5.674,81.3,0,0,-0.486
2021-03-01 04:00:00,5.34,82.8,0,0,-0.518
2021-03-01 05:00:00,4.799,85,0,0,-0.677
2021-03-01 06:00:00,4.867,84.8,0.006,0,-0.605
2021-03-01 07:00:00,5.546,86.3,0,0,5.55
2021-03-01 08:00:00,8.25,79.7,0.004,0,47.33
2021-03-01 09:00:00,11.69,57.66,0.081,0,116.8
2021-03-01 10:00:00,14.32,47.13,0.762,0,145.1
2021-03-01 11:00:00,14.9,37.55,1.201,0,208.3
2021-03-01 12:00:00,15.69,42.55,1.825,0,227.2
2021-03-01 13:00:00,16.02,39.83,2.25,0,219.4
2021-03-01 14:00:00,15.88,47.01,2.364,0,194.6
2021-03-01 15:00:00,15.07,48.77,2.37,0,155.3
2021-03-01 16:00:00,14.27,45.66,1.882,0,90.8
2021-03-01 17:00:00,12.79,51.78,1.331,0,37.09
2021-03-01 18:00:00,11.12,61.28,0.083,0,2.926
2021-03-01 19:00:00,9.71,69.65,0,0,-1.01
2021-03-01 20:00:00,9.58,72.6,0,0,-0.676
2021-03-01 21:00:00,8.98,75.7,0,0,-0.605
2021-03-01 22:00:00,7.77,72.8,0,0,-0.852
2021-03-01 23:00:00,7.36,76.7,0,0,-0.509
2021-03-02 00:00:00,6.616,78.4,0,0,-0.494
2021-03-02 01:00:00,6.276,79.3,0,0,-0.494
2021-03-02 02:00:00,6.147,78.9,0,0,-0.629
2021-03-02 03:00:00,5.673,80.3,0,0,-0.669
2021-03-02 04:00:00,5.404,80.4,0,0,-0.533
2021-03-02 05:00:00,5.133,80.4,0,0,-0.502
2021-03-02 06:00:00,5.132,80.2,0,0,-0.565
2021-03-02 07:00:00,5.674,78.6,0.002,0,2.484
2021-03-02 08:00:00,7.02,71.9,0.001,0,24.88
2021-03-02 09:00:00,9.12,62.96,0.01,0,55.78
2021-03-02 10:00:00,10.8,58.73,0.008,0,71.1
2021-03-02 11:00:00,13.7,51.66,0.106,0,95.3
2021-03-02 12:00:00,14.29,42.5,0.474,0,134.1
2021-03-02 13:00:00,14.62,45,0.735,0,123.5
2021-03-02 14:00:00,13.94,46.89,1.109,0,119.8
2021-03-02 15:00:00,14.69,46.62,0.91,0,79.2
2021-03-02 16:00:00,13.47,48.93,0.72,0,45.78
2021-03-02 17:00:00,12.53,50.97,0.065,0,20.24
2021-03-02 18:00:00,10.79,59.94,0,0,1.312
2021-03-02 19:00:00,10.05,64.36,0,0,-0.501
2021-03-02 20:00:00,9.45,64.98,0,0,-0.477
2021-03-02 21:00:00,8.57,68.71,0,0,-0.477
2021-03-02 22:00:00,7.96,70.2,0,0,-0.477
2021-03-02 23:00:00,7.7,70.2,0,0,-0.478
2021-03-03 00:00:00,7.43,69.48,0,0,-0.478
2021-03-03 01:00:00,7.9,67.45,0,0,-0.454
2021-03-03 02:00:00,7.02,69.48,0,0,-0.478
2021-03-03 03:00:00,6.887,70.4,0,0,-0.438
2021-03-03 04:00:00,7.29,74.8,0,0,-0.478
2021-03-03 05:00:00,6.209,72,0,0,-0.478
2021-03-03 06:00:00,6.141,71,0,0,-0.478
2021-03-03 07:00:00,6.48,67.58,0.001,0,1.56
2021-03-03 08:00:00,7.36,63.44,0.002,0,11.94
2021-03-03 09:00:00,8.44,58.69,0.001,0,26.27
2021-03-03 10:00:00,10.2,57.32,0.01,0,32.74
2021-03-03 11:00:00,11.26,51.06,0.025,0,64.34
2021-03-03 12:00:00,12.07,47.59,0.028,0,57.09
2021-03-03 13:00:00,12.6,51.04,0.071,0,64.12
2021-03-03 14:00:00,12.94,56.94,0.08,0,64.13
2021-03-03 15:00:00,12.66,60.19,0.053,0,41.21
2021-03-03 16:00:00,12.67,63.99,0.021,0,25.41
2021-03-03 17:00:00,12.4,66.09,0.01,0,13.87
2021-03-03 18:00:00,11.53,69.42,0,0,1.081
2021-03-03 19:00:00,10.58,72.3,0,0,-0.477
2021-03-03 20:00:00,10.25,77.1,0,0,-0.294
2021-03-03 21:00:00,9.85,78.7,0,0,-0.477
2021-03-03 22:00:00,9.58,79.1,0,0,-0.239
2021-03-03 23:00:00,9.25,82.4,0,0,-0.477
2021-03-04 00:00:00,8.3,81.5,0,0,-0.477
2021-03-04 01:00:00,8.17,80.5,0,0,-0.477
2021-03-04 02:00:00,7.84,80.9,0,0,-0.446
2021-03-04 03:00:00,7.77,82.3,0,0,-0.478
2021-03-04 04:00:00,8.31,81.9,0,0,-0.294
2021-03-04 05:00:00,8.3,81.3,0,0,-0.414
2021-03-04 06:00:00,8.43,84.8,0.003,0,-0.454
2021-03-04 07:00:00,8.57,83.6,0,0,1.138
2021-03-04 08:00:00,9.04,81.3,0.002,0,15.68
2021-03-04 09:00:00,9.64,78.5,0.008,0,28.76
2021-03-04 10:00:00,11.33,72.4,0.071,0,82.7
2021-03-04 11:00:00,12.26,63.18,0.362,0,126.4
2021-03-04 12:00:00,12.86,63.57,0.257,0,84
2021-03-04 13:00:00,13.07,65.27,0.136,0,62.7
2021-03-04 14:00:00,13,67.44,0.688,0,49.8
2021-03-04 15:00:00,13.34,63.3,1.031,0,76.8
2021-03-04 16:00:00,12.8,68.59,1.316,0,50.98
2021-03-04 17:00:00,12.26,70.3,0.745,0,29.64
2021-03-04 18:00:00,11.32,71.5,0.211,0,3.396
2021-03-04 19:00:00,9.84,78.2,0,0,-0.827
2021-03-04 20:00:00,8.97,80.7,0,0,-0.7
2021-03-04 21:00:00,8.64,79.8,0,0,-0.565
2021-03-04 22:00:00,8.71,81.3,0,0,-0.478
2021-03-04 23:00:00,8.31,81.4,0,0,-0.478
2021-03-05 00:00:00,7.97,82.2,0,0,-0.493
2021-03-05 01:00:00,7.5,82.8,0,0,-0.501
2021-03-05 02:00:00,7.16,87.5,0,0,-0.478
2021-03-05 03:00:00,6.48,87.3,0,0,-0.478
2021-03-05 04:00:00,6.344,87.7,0,0,-0.486
2021-03-05 05:00:00,7.02,89.6,0.015,0,-0.478
2021-03-05 06:00:00,6.48,88,0.019,0,-0.478
2021-03-05 07:00:00,6.616,87.5,0,0,9.41
2021-03-05 08:00:00,8.92,88.5,0.006,0,44.85
2021-03-05 09:00:00,11.55,80.5,0.118,0,118
2021-03-05 10:00:00,14.78,54.31,0.121,0,147.9
2021-03-05 11:00:00,16.45,42.28,0.571,0,220.9
2021-03-05 12:00:00,17.03,36.71,0.861,0,216.3
2021-03-05 13:00:00,18.38,37.18,0.692,0,200.4
2021-03-05 14:00:00,18.56,36.49,0.988,0,183.3
2021-03-05 15:00:00,16.68,42.39,0.963,0,124.8
2021-03-05 16:00:00,16.96,45.79,1.184,0,59.33
2021-03-05 17:00:00,15.56,45.87,0.674,0,35.63
2021-03-05 18:00:00,15.37,39.99,0.263,0,2.305
2021-03-05 19:00:00,14.36,39.45,0.327,0,-0.644
2021-03-05 20:00:00,13.15,42.24,0.16,0,-0.724
2021-03-05 21:00:00,11.26,44.21,0.037,0,-0.994
2021-03-05 22:00:00,10.46,50.8,0.006,0,-1.154
2021-03-05 23:00:00,9.04,53.86,0.04,0,-0.971
2021-03-06 00:00:00,8.91,59.7,0.09,0,-1.106
2021-03-06 01:00:00,7.63,59.03,0.023,0,-1.146
2021-03-06 02:00:00,6.955,61.14,0.009,0,-0.891
2021-03-06 03:00:00,6.209,63.99,0.008,0,-1.059
2021-03-06 04:00:00,6.282,68.54,0,0,-0.788
2021-03-06 05:00:00,4.797,69.23,0,0,-1.035
2021-03-06 06:00:00,5.002,73.7,0,0,-0.9
2021-03-06 07:00:00,5.206,71.9,0,0,13.49
2021-03-06 08:00:00,8.52,53.41,0.021,0,70.5
2021-03-06 09:00:00,10.74,44.5,0.734,0,126.3
2021-03-06 10:00:00,12.55,42.11,0.824,0,156.6
2021-03-06 11:00:00,13.68,41.89,0.734,0,218.5
2021-03-06 12:00:00,15.01,40.72,0.743,0,236.2
2021-03-06 13:00:00,16.49,43.14,0.864,0,227.8
2021-03-06 14:00:00,14.86,45.58,0.457,0,101.8
2021-03-06 15:00:00,15.01,50.67,1.508,0,122.4
2021-03-06 16:00:00,13.32,52.99,1.639,0,82
2021-03-06 17:00:00,12.66,61.4,1.013,0,24.01
2021-03-06 18:00:00,11.72,67.18,0.563,0,3.196
2021-03-06 19:00:00,10.99,69.43,0.062,0,-0.7
2021-03-06 20:00:00,10.59,72.1,0,0,-0.382
2021-03-06 21:00:00,10.86,72.5,0,0,-0.271
2021-03-06 22:00:00,10.93,71.7,0.002,0,-0.446
2021-03-06 23:00:00,11,72.6,0,0,-0.469
2021-03-07 00:00:00,11.07,75.5,0,0,-0.191
2021-03-07 01:00:00,11.2,76.6,0.039,0,-0.453
2021-03-07 02:00:00,11.33,75,0.046,0,-0.477
2021-03-07 03:00:00,10.52,77.7,0.411,0,-0.477
2021-03-07 04:00:00,10.59,78.2,0.579,0,-0.477
2021-03-07 05:00:00,9.98,72.2,0.372,0,-0.477
2021-03-07 06:00:00,9.58,69.72,0.535,0,-0.446
2021-03-07 07:00:00,9.44,68.63,0.504,0,4.01
2021-03-07 08:00:00,9.85,68.09,0.501,0,9.74
2021-03-07 09:00:00,10.93,63.67,0.743,0,38.08
2021-03-07 10:00:00,12.14,64.55,1.022,0,57.03
2021-03-07 11:00:00,12.47,62.77,1.515,0,94.8
2021-03-07 12:00:00,12.6,62.77,1.858,0,73
2021-03-07 13:00:00,12.53,64.06,2.039,0,59.4
2021-03-07 14:00:00,12.4,66.43,1.709,0,51.53
2021-03-07 15:00:00,12.06,66.63,1.418,0,39.87
2021-03-07 16:00:00,11.73,70.6,0.902,0,31.36
2021-03-07 17:00:00,11.53,72.1,0.232,0,8.19
2021-03-07 18:00:00,10.58,74.9,0.018,0.5,-0.183
2021-03-07 19:00:00,9.91,81.4,0.017,1,-0.477
2021-03-07 20:00:00,9.64,81.7,0.003,0,-0.477
2021-03-07 21:00:00,9.78,80.4,0,0.5,-0.477
2021-03-07 22:00:00,9.38,83,0,0,-0.477
2021-03-07 23:00:00,9.52,85.6,0.001,0.5,-0.477
2021-03-08 00:00:00,9.24,83.8,0.001,0,-0.477
2021-03-08 01:00:00,9.18,81.9,0.003,0,-0.477
2021-03-08 02:00:00,9.11,81.9,0.001,0.5,-0.477
2021-03-08 03:00:00,9.04,81.8,0.002,0,-0.469
2021-03-08 04:00:00,8.91,81.9,0.007,0,-0.398
2021-03-08 05:00:00,8.36,84.7,0,0,-0.446
2021-03-08 06:00:00,8.43,81.3,0.001,0,-0.454
2021-03-08 07:00:00,7.76,85.7,0,0,5.555
2021-03-08 08:00:00,9.52,81.7,0,0,58.66
2021-03-08 09:00:00,11.41,62.87,0.197,0,118.9
2021-03-08 10:00:00,15.06,46.85,0.744,0,168.9
2021-03-08 11:00:00,15.3,38.22,1.186,0,230.7
2021-03-08 12:00:00,17.04,34.89,0.964,0,240.2
2021-03-08 13:00:00,17.43,34.41,0.838,0,207.7
2021-03-08 14:00:00,17.5,35.02,0.553,0,139.1
2021-03-08 15:00:00,17.91,34.61,0.475,0,144.2
2021-03-08 16:00:00,15.66,41.78,0.999,0,102.1
2021-03-08 17:00:00,10.76,68.11,0.821,7,7.39
2021-03-08 18:00:00,11.13,77.2,0.127,0,5.256
2021-03-08 19:00:00,10.45,78.1,0,0,-0.191
2021-03-08 20:00:00,9.31,78.5,0,0,-0.676
2021-03-08 21:00:00,8.02,78.7,0,0,-1.329
2021-03-08 22:00:00,7.56,76.4,0.001,0,-1.297
2021-03-08 23:00:00,6.48,77.8,0,0,-1.313
2021-03-09 00:00:00,5.672,79.8,0,0,-0.931
2021-03-09 01:00:00,5.538,79.2,0,0,-1.035
2021-03-09 02:00:00,5.477,77.4,0.002,0,-1.338
2021-03-09 03:00:00,5.749,70.7,0.082,0,-1.37
2021-03-09 04:00:00,5.478,69.37,0.254,0,-1.354
2021-03-09 05:00:00,5.478,70.7,0.096,0,-0.971
2021-03-09 06:00:00,4.188,70.4,0.041,0,-1.019
2021-03-09 07:00:00,6.292,61.29,0.007,0,14.99
2021-03-09 08:00:00,8.93,46.9,0.664,0,71.6
2021-03-09 09:00:00,12.1,42.33,1.009,0,141.8
2021-03-09 10:00:00,14.31,30.17,0.502,0,187.4
2021-03-09 11:00:00,15.3,29.75,0.83,0,235.3
2021-03-09 12:00:00,16.16,29.54,0.632,0,254
2021-03-09 13:00:00,17.03,23.3,0.887,0,248.6
2021-03-09 14:00:00,17.16,24.31,1.768,0,227.7
2021-03-09 15:00:00,18.1,19.91,1.063,0,181.3
2021-03-09 16:00:00,17.96,19.98,0.723,0,123
2021-03-09 17:00:00,15.27,28.45,2.205,0,55.98
2021-03-09 18:00:00,13.06,28.67,1.465,0,5.841
2021-03-09 19:00:00,12.14,28.68,2.231,0,-1.36
2021-03-09 20:00:00,11.33,29.23,2.446,0,-1.4
2021-03-09 21:00:00,10.32,31.54,1.309,0,-1.408
2021-03-09 22:00:00,8.63,37.37,0.072,0,-1.329
2021-03-09 23:00:00,7.77,42,0.015,0,-1.074
2021-03-10 00:00:00,7.9,38.2,0.161,0,-1.075
2021-03-10 01:00:00,7.17,40.85,0.116,0,-0.955
2021-03-10 02:00:00,5.741,45.94,0.048,0,-1.146
2021-03-10 03:00:00,5.138,51.59,0.001,0,-1.011
2021-03-10 04:00:00,4.324,51.65,0.005,0,-0.956
2021-03-10 05:00:00,4.46,51.45,0.09,0,-0.948
2021-03-10 06:00:00,3.511,57.63,0.006,0,-0.948
2021-03-10 07:00:00,6.224,51.04,0.42,0,19.9
2021-03-10 08:00:00,9.13,44.92,0.859,0,85.2
2021-03-10 09:00:00,12.03,36.02,0.864,0,154.1
2021-03-10 10:00:00,13.29,29.7,0.886,0,202.6
2021-03-10 11:00:00,14.22,26.16,0.985,0,245.6
2021-03-10 12:00:00,16.3,21.34,0.661,0,259.4
2021-03-10 13:00:00,15.4,28.38,1.738,0,250
2021-03-10 14:00:00,15.4,27.43,2.17,0,229.4
2021-03-10 15:00:00,14.72,33.59,2.179,0,181.9
2021-03-10 16:00:00,14.67,41.39,2.256,0,122.6
2021-03-10 17:00:00,13.32,46.28,1.73,0,52.72
2021-03-10 18:00:00,12.73,40.87,0.906,0,6.502
2021-03-10 19:00:00,11.74,48.01,1.376,0,-1.424
2021-03-10 20:00:00,10.66,60.22,1.713,0,-1.36
2021-03-10 21:00:00,9.58,59.49,1.631,0,-1.305
2021-03-10 22:00:00,8.57,62.81,0.991,0,-1.361
2021-03-10 23:00:00,8.57,56.31,0.079,0,-0.581
2021-03-11 00:00:00,10.67,42.94,0.349,0,-0.048
2021-03-11 01:00:00,11.08,41.44,0.57,0,-0.255
2021-03-11 02:00:00,9.11,63.49,0.142,0.5,-0.732
2021-03-11 03:00:00,8.43,69.59,0.214,0.5,0.374
2021-03-11 04:00:00,9.79,66,0.485,0,1.058
2021-03-11 05:00:00,8.7,69.59,0,0,-0.095
2021-03-11 06:00:00,8.7,71.5,0,0,-0.167
2021-03-11 07:00:00,9.25,72.2,0,0,4.369
2021-03-11 08:00:00,12.22,59.68,0.571,0,82
2021-03-11 09:00:00,14.37,54.5,1.039,0,126.5
2021-03-11 10:00:00,16.04,52.59,1.548,0,153.9
2021-03-11 11:00:00,17.58,48.3,1.491,0,207.3
2021-03-11 12:00:00,17.84,49.58,1.901,0,198.5
2021-03-11 13:00:00,19.66,45.58,2.286,0,233.5
2021-03-11 14:00:00,18.29,52.07,2.261,0,177
2021-03-11 15:00:00,17.63,45.58,2.297,0,127.3
2021-03-11 16:00:00,14.87,51.82,2.07,0,80.2
2021-03-11 17:00:00,14.68,54.48,1.206,0,40.56
2021-03-11 18:00:00,13.75,59.24,0.406,0,5.811
2021-03-11 19:00:00,12.74,58.77,0.109,0,-0.795
2021-03-11 20:00:00,12.62,63.33,0.008,0,-0.453
2021-03-11 21:00:00,14.18,61.3,0.492,0,-0.517
2021-03-11 22:00:00,14.04,53.02,2.211,0,-0.589
2021-03-11 23:00:00,12.68,52.47,1.662,0,-0.843
2021-03-12 00:00:00,12.28,52.08,1.185,0,-0.827
2021-03-12 01:00:00,12.55,47.13,1.424,0,-0.955
2021-03-12 02:00:00,11.94,52.35,1.26,0,-0.764
2021-03-12 03:00:00,10.93,51.47,0.31,0,-0.676
2021-03-12 04:00:00,10.59,52.22,0.116,0,-0.66
2021-03-12 05:00:00,10.6,53.04,0.304,0,-0.573
2021-03-12 06:00:00,10.87,55.95,0.06,0,-0.477
2021-03-12 07:00:00,10.66,51.61,0.444,0,8.49
2021-03-12 08:00:00,10.86,53.58,0.758,0,23.39
2021-03-12 09:00:00,12.82,49.77,0.526,0,68.41
2021-03-12 10:00:00,13.48,39.59,1.838,0,125.6
2021-03-12 11:00:00,14.42,35.99,1.966,0,109.5
2021-03-12 12:00:00,15.9,36.11,2.635,0,229.5
2021-03-12 13:00:00,16.83,35.56,3.181,0,252.6
2021-03-12 14:00:00,15.88,37.45,2.673,0,202.9
2021-03-12 15:00:00,15.82,35.36,2.773,0,173.7
2021-03-12 16:00:00,15.22,35.09,2.367,0,113.7
2021-03-12 17:00:00,13.86,35.03,2.982,0,63.36
2021-03-12 18:00:00,13.07,42.22,2.047,0,6.08
2021-03-12 19:00:00,11.4,46.85,1.319,0,-1.368
2021-03-12 20:00:00,10.12,52.49,0.803,0,-1.368
2021-03-12 21:00:00,9.86,58.06,0.242,0,-1.186
2021-03-12 22:00:00,9.39,60.99,0.099,0,-0.915
2021-03-12 23:00:00,8.31,59.98,0.481,0,-0.907
2021-03-13 00:00:00,7.57,64.8,0.006,0,-0.748
2021-03-13 01:00:00,9.67,52.72,1.284,0,-0.573
2021-03-13 02:00:00,8.84,55.83,1.089,0,-0.939
2021-03-13 03:00:00,9.79,55.83,1.765,0,-0.883
2021-03-13 04:00:00,8.1,65.39,0.769,0,-1.146
2021-03-13 05:00:00,7.77,66.5,0.447,0,-1.059
2021-03-13 06:00:00,6.276,67.72,0.165,0,-0.876
2021-03-13 07:00:00,7.7,63.85,0.202,0,26.59
2021-03-13 08:00:00,9.79,55.9,0.969,0,87.9
2021-03-13 09:00:00,12.76,50.25,1.492,0,151
2021-03-13 10:00:00,13.62,40.54,1.987,0,210.4
2021-03-13 11:00:00,15.36,42.96,2.477,0,219.6
2021-03-13 12:00:00,16.77,33.33,2.397,0,248.4
2021-03-13 13:00:00,17.5,26.55,3.004,0,236.7
2021-03-13 14:00:00,17.57,24.45,3.02,0,227.7
2021-03-13 15:00:00,17.17,27.64,2.112,0,115.6
2021-03-13 16:00:00,17.72,27.64,2.697,0,83.7
2021-03-13 17:00:00,15.69,26.63,3.124,0,56.19
2021-03-13 18:00:00,15.03,31.92,1.655,0,4.236
2021-03-13 19:00:00,14.7,33.76,2.239,0,-1.193
2021-03-13 20:00:00,14.17,36.34,2.582,0,-0.962
2021-03-13 21:00:00,13.83,40.2,1.273,0,-0.748
2021-03-13 22:00:00,12.14,45.22,2.965,0,-0.66
2021-03-13 23:00:00,12.01,44.28,3.035,0,-0.692
2021-03-14 00:00:00,11.13,57.09,1.903,0,-0.827
2021-03-14 01:00:00,10.79,54.59,1.542,0,-0.772
2021-03-14 02:00:00,10.86,46.25,1.713,0,-0.453
2021-03-14 03:00:00,10.32,50.45,1.744,0,-0.97
2021-03-14 04:00:00,9.51,50.26,1.16,0,-0.748
2021-03-14 05:00:00,9.11,48.77,2.212,0,-0.629
2021-03-14 06:00:00,8.91,49.31,2.33,0,-0.613
2021-03-14 07:00:00,9.11,47.41,1.74,0,12.37
2021-03-14 08:00:00,10.33,42.53,2.721,0,74.7
2021-03-14 09:00:00,11.94,30.86,3.207,0,162.2
2021-03-14 10:00:00,12.68,27.59,3.346,0,222.6
2021-03-14 11:00:00,13,28.67,3.691,0,263.6
2021-03-14 12:00:00,14.08,28.12,3.2,0,298
2021-03-14 13:00:00,14.74,23.31,2.394,0,271.8
2021-03-14 14:00:00,15,22.76,2.797,0,250.8
2021-03-14 15:00:00,15.21,22.29,3.03,0,198.6
2021-03-14 16:00:00,14.54,22.7,2.975,0,137.8
2021-03-14 17:00:00,12.92,28.12,3.103,0,60.14
2021-03-14 18:00:00,11.92,28.33,1.726,0,7.12
2021-03-14 19:00:00,11.4,30.51,0.921,0,-1.217
2021-03-14 20:00:00,10.73,35.54,2.126,0,-1.058
2021-03-14 21:00:00,10.26,37.1,2.359,0,-1.018
2021-03-14 22:00:00,10.26,37.85,2.794,0,-1.066
2021-03-14 23:00:00,9.92,41.04,2.143,0,-0.979
2021-03-15 00:00:00,9.58,44.7,1.913,0,-1.011
2021-03-15 01:00:00,7.96,51.14,2.543,0,-0.995
2021-03-15 02:00:00,8.16,51.22,2.54,0,-0.963
2021-03-15 03:00:00,8.04,56.92,1.092,0,-1.027
2021-03-15 04:00:00,7.84,55.71,2.164,0,-0.955
2021-03-15 05:00:00,8.31,49.13,1.547,0,-0.963
2021-03-15 06:00:00,8.45,54.35,2.345,0,-0.414
2021-03-15 07:00:00,8.58,50.48,2.286,0,16.61
2021-03-15 08:00:00,10.6,45.85,2.577,0,71.2
2021-03-15 09:00:00,11.74,42.04,3.146,0,164.3
2021-03-15 10:00:00,12.27,42.71,3.94,0,226.1
2021-03-15 11:00:00,12.66,42.22,4.144,0,239.9
2021-03-15 12:00:00,13.26,41.88,4.759,0,278.7
2021-03-15 13:00:00,14,47.97,4.667,0,270.1
2021-03-15 14:00:00,12.52,46.76,3.783,0,91.4
2021-03-15 15:00:00,13.34,41.61,3.574,0,74
2021-03-15 16:00:00,13.68,41.62,3.57,0,66.57
2021-03-15 17:00:00,13.27,41.55,3.392,0,66.83
2021-03-15 18:00:00,12.73,42.43,3.192,0,11.01
2021-03-15 19:00:00,12.2,46.1,2.778,0,-0.97
2021-03-15 20:00:00,12.82,50.18,2.876,0,-1.074
2021-03-15 21:00:00,12.55,49.5,2.161,0,-0.867
2021-03-15 22:00:00,12.28,49.91,2.731,0,-0.788
2021-03-15 23:00:00,10.93,51.67,1.641,0,-1.185
2021-03-16 00:00:00,10.46,54.46,0.858,0,-1.281
2021-03-16 01:00:00,9.99,45.38,0.726,0,-0.883
2021-03-16 02:00:00,9.92,50.13,1.214,0,-1.114
2021-03-16 03:00:00,10.06,50.53,1.31,0,-0.891
2021-03-16 04:00:00,10.19,47.69,1.353,0,-0.931
2021-03-16 05:00:00,9.99,40.56,1.394,0,-1.074
2021-03-16 06:00:00,9.18,47.62,0.946,0,-0.621
2021-03-16 07:00:00,10.34,45.39,0.677,0,23.49
2021-03-16 08:00:00,12.22,30.05,1.298,0,94.9
2021-03-16 09:00:00,14.24,26.44,1.396,0,160.7
2021-03-16 10:00:00,15.11,23.72,1.707,0,219.8
2021-03-16 11:00:00,15.36,21.89,1.899,0,254.8
2021-03-16 12:00:00,15.76,20.73,2.149,0,272
2021-03-16 13:00:00,16.49,21.67,2.091,0,267.6
2021-03-16 14:00:00,16.69,22.28,2.142,0,240.9
2021-03-16 15:00:00,16.96,23.03,1.755,0,194.9
2021-03-16 16:00:00,17.43,25.6,1.354,0,135.4
2021-03-16 17:00:00,16.15,27.5,1.496,0,66
2021-03-16 18:00:00,13.8,37,2.52,0,8.09
2021-03-16 19:00:00,13.22,40.61,2.347,0,-1.185
2021-03-16 20:00:00,12.01,42.72,2.199,0,-1.209
2021-03-16 21:00:00,12.21,43.53,2.124,0,-0.803
2021-03-16 22:00:00,12.89,46.99,1.774,0,-0.955
2021-03-16 23:00:00,12.82,51.13,2.059,0,-0.764
2021-03-17 00:00:00,12.21,51.53,2.693,0,-0.501
2021-03-17 01:00:00,11.94,56.82,2.144,0,-0.899
2021-03-17 02:00:00,12.01,53.64,1.226,0,-0.899
2021-03-17 03:00:00,11.47,54.11,1.171,0,-1.13
2021-03-17 04:00:00,12.63,50.8,2.183,0,-0.963
2021-03-17 05:00:00,11.4,50.59,1.407,0,-1.002
2021-03-17 06:00:00,11.68,50.18,2.014,0,-0.358
2021-03-17 07:00:00,13.03,43.67,1.881,0,21.16
2021-03-17 08:00:00,13.15,40.88,1.71,0,43.53
2021-03-17 09:00:00,14.3,33.62,1.23,0,127.8
2021-03-17 10:00:00,14.02,26.97,1.702,0,177.4
2021-03-17 11:00:00,13.54,29.55,2.233,0,164.7
2021-03-17 12:00:00,14.75,26.56,2.145,0,215.6
2021-03-17 13:00:00,16.03,25.75,2.09,0,257.1
2021-03-17 14:00:00,15.27,27.71,2.17,0,156.9
2021-03-17 15:00:00,15.29,27.85,2.155,0,97.2
2021-03-17 16:00:00,15.7,25.54,2.313,0,130.6
2021-03-17 17:00:00,13.53,28.59,2.514,0,49.58
2021-03-17 18:00:00,12.4,32.33,2.215,0,8.3
2021-03-17 19:00:00,11.74,33.23,1.559,0,-0.724
2021-03-17 20:00:00,10.65,35.46,1.298,0,-1.289
